Biomass Burn,merge_col,Sample Collection Post-Exposure (h),Cytokine_IL6,Cytokine_MIP2,Cytokine_TNFa,Injury_Albumin,Injury_GGT,Injury_LDH,Injury_NAG,Injury_Protein,Macrophages,Neutrophils
LPS,LPS,4,1,1,1,0,0,0,0,0,0,1
Flaming Peat,PeatFlame,4,1,1,1,0,0,0,0,0,0,1
Smoldering Peat,PeatSmolder,4,0,0,0,0,0,0,0,0,0,1
Flaming Red Oak,RedOakFlame,4,0,0,0,1,0,0,0,0,0,1
Smoldering Red Oak,RedOakSmolder,4,0,0,0,0,0,0,0,0,0,0
Flaming Pine,PineFlame,4,0,0,0,0,0,0,0,0,0,1
Smoldering Pine,PineSmolder,4,0,0,0,0,0,0,0,0,0,1
Flaming Pine Needles,PineNeedlesFlame,4,0,0,0,0,0,0,0,0,0,1
Smoldering Pine Needles,PineNeedlesSmolder,4,0,0,0,0,0,0,0,0,0,1
Flaming Eucalyptus,EucalyptusFlame,4,0,0,0,0,0,0,0,0,0,1
Smoldering Eucalyptus,EucalyptusSmolder,4,0,0,0,0,0,0,0,0,0,1
LPS,LPS,24,1,1,1,1,0,1,1,1,0,1
Flaming Peat,PeatFlame,24,1,0,0,1,0,1,1,1,0,1
Smoldering Peat,PeatSmolder,24,0,0,0,0,0,0,0,0,0,0
Flaming Red Oak,RedOakFlame,24,0,0,0,0,0,0,0,0,0,0
Smoldering Red Oak,RedOakSmolder,24,0,0,0,0,0,0,0,0,0,0
Flaming Pine,PineFlame,24,0,0,0,0,0,0,0,0,0,0
Smoldering Pine,PineSmolder,24,0,0,0,0,0,0,0,0,0,0
Flaming Pine Needles,PineNeedlesFlame,24,0,0,0,0,0,0,0,0,0,0
Smoldering Pine Needles,PineNeedlesSmolder,24,0,0,0,0,0,0,0,0,0,0
Flaming Eucalyptus,EucalyptusFlame,24,0,0,0,0,0,0,0,0,0,1
Smoldering Eucalyptus,EucalyptusSmolder,24,0,0,0,0,0,0,0,0,0,1